player_id,team_id,player_name,primary_role
50132,33,A. Bayindir,GK
157997,33,A. Diallo,CM
402329,33,A. Heaven,CB
526,33,A. Onana,GK
1485,33,B. Fernandes,DM
20589,33,B. Mbeumo,ST
115589,33,B. Sesko,ST
747,33,Casemiro,DM
886,33,D. Dalot,CM
2935,33,H. Maguire,CB
70100,33,J. Zirkzee,ST
284322,33,K. Mainoo,CM
891,33,L. Shaw,FB_L
342970,33,L. Yoro,FB_L
1165,33,M. Cunha,ST
19220,33,M. Mount,ST
51494,33,M. Ugarte,CM
532,33,M. de Ligt,FB_L
545,33,N. Mazraoui,CB
382452,33,P. Dorgu,DM
328101,33,T. Fredricson,CB
2931,33,T. Heaton,GK
153430,34,A. Elanga,ST
138787,34,A. Gordon,ST
20355,34,A. Ramsdale,GK
10135,34,Bruno Guimaraes,DM
18961,34,D. Burn,FB_L
2855,34,E. Krafth,CB
2806,34,F. Schar,FB_L
18778,34,H. Barnes,ST
18894,34,J. Lascelles,CB
19163,34,J. Murphy,CM
19192,34,J. Ramsey,CM
1463,34,J. Willock,CM
723,34,Joelinton,DM
169,34,K. Trippier,FB_L
284492,34,L. Hall,CB
328105,34,L. Miley,CM
163189,34,M. Thiaw,CB
18911,34,N. Pope,GK
526535,34,Park Seung-soo,ST
38734,34,S. Botman,CB
31146,34,S. Tonali,DM
158694,34,V. Livramento,FB_L
315237,34,W. Osula,ST
129682,35,A. Adli,ST
304853,35,A. Scott,DM
19281,35,A. Semenyo,DM
18869,35,A. Smith,FB_L
162267,35,A. Truffert,FB_L
22136,35,B. Diakite,FB_L
343576,35,B. Doak,ST
402432,35,B. Winterburn,CM
18870,35,D. Brooks,DM
118307,35,D. Petrovic,GK
368030,35,E. J. Kroupi,ST
152856,35,Evanilson,ST
31057,35,H. J. Traore,CM
51051,35,J. Araujo,CB
20093,35,J. Hill,CB
792,35,J. Kluivert,ST
363333,35,J. Soler,CB
6610,35,M. Senesi,FB_L
19245,35,M. Tavernier,DM
2734,35,P. Billing,CM
1125,35,R. Christie,CM
84082,35,R. Faivre,CM
402434,35,R. Rees-Dottin,ST
1150,35,T. Adams,DM
151756,35,W. Dennis,GK
1455,36,A. Iwobi,DM
899,36,A. Pereira,CM
19549,36,A. Robinson,CB
18753,36,A. Traore,ST
21566,36,B. Lecomte,GK
1438,36,B. Leno,GK
152967,36,C. Bassey,FB_L
1161,36,E. Smith Rowe,CM
19480,36,H. Reed,CM
19221,36,H. Wilson,CM
18814,36,I. Diop,CB
2729,36,J. Andersen,FB_L
131,36,J. Cuenca,CB
389315,36,J. King,DM
657,36,K. Tete,FB_L
2887,36,R. Jimenez,ST
19032,36,R. Sessegnon,FB_L
195106,36,Rodrigo Muniz,ST
1934,36,S. Berge,DM
2823,36,S. Lukic,DM
19025,36,T. Cairney,CM
2920,36,T. Castagne,DM
265784,39,Andre,DM
265782,39,D. M. Wolfe,DM
135068,39,E. Agbadou,FB_L
391822,39,F. Lopez,ST
280687,39,H. Bueno,CB
24888,39,Hwang Hee-Chan,ST
13708,39,J. Arias,ST
20665,39,J. Bellegarde,ST
2032,39,J. S. Larsen,ST
1590,39,J. Sa,GK
296560,39,J. Tchatchoua,CB
195103,39,Joao Gomes,DM
285,39,K. Hoever,CM
66407,39,L. Krejci,CB
18742,39,M. Doherty,FB_L
3080,39,M. Munetsi,ST
282770,39,R. Gomes,CB
135334,39,S. Bueno,CB
19143,39,S. Johnstone,GK
7722,39,S. Kalajdzic,ST
41606,39,Toti,FB_L
195717,39,Y. Mosquera,CB
6716,40,A. Mac Allister,DM
289,40,A. Robertson,CB
280,40,Alisson,GK
180317,40,C. Bradley,CB
247,40,C. Gakpo,DM
293,40,C. Jones,CM
1096,40,D. Szoboszlai,FB_L
30410,40,F. Chiesa,ST
203224,40,F. Wirtz,DM
409047,40,G. Leoni,CB
24760,40,G. Mamardashvili,GK
174565,40,H. Ekitike,ST
19035,40,H. Elliott,CM
1145,40,I. Konate,FB_L
152654,40,J. Frimpong,FB_L
284,40,J. Gomez,CB
206254,40,M. Kerkez,FB_L
306,40,M. Salah,DM
542,40,R. Gravenberch,DM
452685,40,R. Ngumoha,ST
397997,40,T. Nyoni,CM
290,40,V. van Dijk,FB_L
8500,40,W. Endo,CM
457731,42,A. Harriman-Annous,ST
1460,42,B. Saka,ST
19959,42,B. White,FB_L
