fixture_id,team_id,opponent_team_id,is_home,player_id,player_name,expected_minutes,proj_shots_total,proj_shots_on,proj_fouls_committed,proj_fouls_drawn,proj_yellow_cards,role,shots_total_factor_x,shots_on_factor_x,fouls_committed_factor_x,fouls_drawn_factor_x,yellow_cards_factor_x,proj_shots_total_raw,proj_shots_on_raw,proj_fouls_committed_raw,proj_fouls_drawn_raw,proj_yellow_cards_raw,shots_total_factor_y,shots_on_factor_y,fouls_committed_factor_y,fouls_drawn_factor_y,yellow_cards_factor_y,role_old,shots_total_factor,shots_on_factor,fouls_committed_factor,fouls_drawn_factor,yellow_cards_factor
1379118,39,33,True,265784,André,60.333333333333336,0.0,0.0,1.2045783003053576,1.515855740159512,0.0,CM,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.2045783003053576,1.515855740159512,0.0,1.0,1.0,1.0,1.0,1.0,DM,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,265782,David Möller Wolfe,44.0,0.0,0.0,0.0,0.3031711480319023,0.0,CM,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3031711480319023,0.0,1.0,1.0,1.0,1.0,1.0,DM,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,135068,Emmanuel Agbadou,90.0,0.551500405515004,0.0,0.0,0.3031711480319023,0.0,CB,1.0,1.0,1.0,1.0,1.0,0.551500405515004,0.0,0.0,0.3031711480319023,0.0,1.0,1.0,1.0,1.0,1.0,FB_L,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,391822,Fer López,22.0,0.4044336307110029,0.4044336307110029,1.1778098936319052,0.0,0.0,ST,1.0,1.0,1.0,1.0,1.0,0.4044336307110029,0.4044336307110029,1.1778098936319052,0.0,0.0,1.0,1.0,1.0,1.0,1.0,ST,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,24888,Hee-Chan Hwang,32.666666666666664,0.275750202757502,0.275750202757502,0.8030522002035717,0.3031711480319024,0.0,ST,1.0,1.0,1.0,1.0,1.0,0.275750202757502,0.275750202757502,0.8030522002035717,0.3031711480319024,0.0,1.0,1.0,1.0,1.0,1.0,ST,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,280687,Hugo Bueno,46.333333333333336,0.275750202757502,0.0,1.2045783003053576,0.3031711480319023,0.3143587594762552,CB,1.0,1.0,1.0,1.0,1.0,0.275750202757502,0.0,1.2045783003053576,0.3031711480319023,0.3143587594762552,1.0,1.0,1.0,1.0,1.0,CB,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,296560,Jackson Tchatchoua,59.5,0.0,0.0,0.0,0.0,0.0,CB,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,CB,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,20665,Jean-Ricner Bellegarde,48.0,0.551500405515004,0.275750202757502,0.8030522002035717,1.2126845921276097,0.0,ST,1.0,1.0,1.0,1.0,1.0,0.551500405515004,0.275750202757502,0.8030522002035717,1.2126845921276097,0.0,1.0,1.0,1.0,1.0,1.0,ST,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,13708,Jhon Arias,46.0,0.5515004055150039,0.275750202757502,0.8030522002035716,0.0,0.0,CM,1.0,1.0,1.0,1.0,1.0,0.5515004055150039,0.275750202757502,0.8030522002035716,0.0,0.0,1.0,1.0,1.0,1.0,1.0,ST,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,1590,José Sá,90.0,0.0,0.0,0.0,0.0,0.0,GK,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,GK,1.0,1.0,1.0,1.0,1.0
1379118,39,33,True,195103,João Gomes,90.0,0.275750202757502,0.0,2.4091566006107152,2.7285403322871216,0.3143587594762552,CM,1.0,1.0,1.0,1.0,1.0,0.275750202757502,0.0,2.4091566006107152,2.7285403322871216,0.3143587594762552,1.0,1.0,1.0,1.0,1.0,DM,1.0,1.0,1.0,1.0,1.0
